blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
2402001,Regional Choice,99,0.52,10.14,8466.67,1,2,0,5,$254900.00,65.2
2102001,Middle Market Stressed,90,0.76,1.8,6241.67,0,7,8,8,$59000.00,47.9
103002,Regional Choice,87,0.46,22.04,22000,1,0,2,6,$189900.00,41.3
2102002,Middle Market Stressed,83,0.65,2.96,670.89,1,6,9,8,$60541.00,49.9
101001,Regional Choice,79,0.4,15.25,15225,0,0,0,3,$238000.00,78
603002,Regional Choice,76,0.59,0,12125,0,6,3,5,$168000.00,48.9
2401001,Regional Choice,74,0.41,14.16,1780.49,1,9,1,5,$208000.00,75.7
602004,Middle Market Stressed,72,0.76,0,13950,3,3,8,8,$71435.00,42
101002,Regional Choice,69,0.35,3.59,11975,1,1,1,5,$235000.00,69.4
102003,Regional Choice,67,0.32,24577.62,16400,0,0,0,3,$230000.00,77.4
601002,Middle Market,65,0.58,5702.41,13700,0,0,2,7,$100000.00,47.6
2302002,Regional Choice,64,0.4,0,14625,1,2,2,4,$232500.00,67.1
104002,Regional Choice,64,0.8,2.54,12875,0,2,0,6,$270950.00,42.9
2610004,Middle Market Choice,62,0.49,4322.94,11125,1,0,0,5,$147450.00,62.1
201002,Regional Choice,62,0.56,11.88,15950,1,1,0,3,$174500.00,55.9
701002,Distressed,62,0.57,13.63,13375,0,1,8,6,$32000.00,34.4
104001,Regional Choice,61,0.38,1.61,8383.33,1,1,0,3,$200000.00,61.5
105002,Regional Choice,60,0.54,0,16300,1,1,1,7,$165250.00,50.6
2303001,Regional Choice,60,0.44,0,13850,1,2,1,5,$202000.00,63.3
2604043,Middle Market Stressed,59,0.94,2.96,2752.94,0,2,3,9,$39900.00,40.4
2101002,Middle Market Stressed,58,0.83,4,11700,1,4,9,8,$59950.00,51.1
601003,Middle Market,57,0.62,0,14600,1,0,4,8,$98500.00,57.8
2302001,Regional Choice,56,0.34,1.56,11075,1,1,0,3,$256500.00,55.3
203001,Regional Choice,55,0.61,2.99,8983.33,0,17,1,3,$240000.00,40.2
103001,Regional Choice,54,0.42,12.93,2204.55,0,3,1,4,$232500.00,76.6
202002,Middle Market Choice,54,0.53,3.63,9940,0,2,1,6,$132000.00,51.7
1503004,Middle Market Stressed,53,0.47,0,3333.33,0,10,25,3,$52500.00,24.3
2608002,Middle Market Stressed,53,0.69,8.21,7383.33,0,1,2,8,$70000.00,51.5
2401002,Regional Choice,53,0.4,8.86,1369.7,0,3,1,3,$220000.00,74.9
2704011,Middle Market,53,0.51,4.53,4005,0,3,0,8,$102000.00,60.8
2608001,Middle Market Stressed,52,0.52,1.63,8900,0,1,2,9,$59000.00,36.3
603001,Middle Market Stressed,51,0.7,0,5800,1,18,19,6,$65000.00,26.4
102001,Middle Market Choice,51,0.49,0,12300,1,0,2,8,$159900.00,68.8
1306004,Middle Market Choice,50,0.44,3.19,2672.22,0,5,0,2,$174250.00,75.1
2609001,Regional Choice,50,0.38,0.47,4050,0,5,0,5,$201250.00,69.6
906002,Distressed,50,0.96,0,8300,0,4,21,7,$23334.00,38.7
602005,Middle Market Stressed,50,0.9,0,9800,0,0,17,15,$45725.00,23.7
2402002,Regional Choice,49,0.34,1231.19,9000,1,12,0,2,$252000.00,74.9
2301002,Regional Choice,48,0.41,23.72,6185.71,1,1,1,3,$259450.00,65.4
101003,Regional Choice,47,0.41,5.08,6100,0,3,0,3,$299000.00,78.6
602001,Middle Market Stressed,47,0.88,0,7650,0,1,12,13,$40000.00,36.1
2404001,Regional Choice,47,0.29,0,17950,1,29,0,1,$239900.00,84.7
2501012,Middle Market,46,0.94,63.96,3171.43,7,2,0,6,$102500.00,73.7
2303002,Middle Market Choice,46,0.48,2.46,485.42,1,14,1,8,$154100.00,64.9
602002,Middle Market Choice,46,0.56,5.38,12700,1,0,2,7,$117500.00,57.8
2609002,Regional Choice,45,0.36,0,9850,0,0,1,3,$218000.00,74.9
2609003,Regional Choice,45,0.41,1.14,8600,1,1,0,6,$249000.00,32.6
2705024,Middle Market Choice,45,0.35,7.9,2850,0,2,0,6,$169500.00,70.4
1803002,Middle Market Stressed,45,0.91,12.43,9960,1,16,7,7,$45900.00,33.2
