Sale_Price,Exterior_2nd,Exterior_1st,MS_SubClass,Sale_Type,Condition_1,Overall_Cond,Lot_Frontage,Mas_Vnr_Area,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Second_Flr_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Wood_Deck_SF,Mo_Sold,Latitude,Longitude,Neighborhood,Lot_Area
215000,Plywood,BrkFace,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,141,112,2,441,1080,0,1,0,1,0,3,7,2,528,210,5,42.054035,-93.619754,North_Ames,31770
105000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Feedr,Above_Average,80,0,6,270,882,0,0,0,1,0,2,5,0,730,140,6,42.053014,-93.619756,North_Ames,11622
172000,Wd Sdng,Wd Sdng,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,81,108,1,406,1329,0,0,0,1,1,3,6,0,312,393,6,42.052659,-93.6193873,North_Ames,14267
244000,BrkFace,BrkFace,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,93,0,1,1045,2110,0,1,0,2,1,3,8,2,522,0,4,42.051245,-93.61732,North_Ames,11160
189900,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,74,0,3,137,928,701,0,0,2,1,3,6,1,482,212,3,42.060899,-93.638933,Gilbert,13830
195500,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Above_Average,78,20,3,324,926,678,0,0,2,1,3,7,1,470,360,6,42.060779,-93.638925,Gilbert,9978
213500,CmentBd,CemntBd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,41,0,3,722,1338,0,1,0,2,0,2,6,0,582,0,4,42.062978,-93.633792,Stone_Brook,4920
191500,HdBoard,HdBoard,One_Story_PUD_1946_and_Newer,WD,Norm,Average,43,0,1,1017,1280,0,0,0,2,0,2,5,0,506,0,1,42.060728,-93.633826,Stone_Brook,5005
236500,CmentBd,CemntBd,One_Story_PUD_1946_and_Newer,WD,Norm,Average,39,0,3,415,1595,0,1,0,2,0,2,5,1,608,237,3,42.06112,-93.632852,Stone_Brook,5389
189000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,60,0,7,994,994,776,0,0,2,1,3,7,1,442,140,6,42.059193,-93.639068,Gilbert,7500
175900,HdBoard,HdBoard,Two_Story_1946_and_Newer,WD,Norm,Average,75,0,7,763,763,892,0,0,2,1,3,7,1,440,157,4,42.05848,-93.636947,Gilbert,10000
185000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Good,0,0,1,233,1168,0,1,0,2,0,3,6,0,420,483,3,42.057419,-93.635951,Gilbert,7980
180400,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,63,0,7,789,789,676,0,0,2,1,3,7,1,393,0,5,42.058151,-93.638647,Gilbert,8402
171500,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,85,0,3,663,1300,0,1,0,1,1,2,5,1,506,192,2,42.057268,-93.634626,Gilbert,10176
212000,HdBoard,HdBoard,One_Story_PUD_1946_and_Newer,WD,Norm,Average,0,0,3,0,1488,0,1,0,1,1,1,4,0,528,0,6,42.059169,-93.632913,Stone_Brook,6820
538000,Wd Shng,CemntBd,Two_Story_1946_and_Newer,WD,Norm,Average,47,603,1,234,1650,1589,1,0,3,1,4,12,1,841,503,6,42.061239,-93.62655,Stone_Brook,53504
164000,Wd Sdng,Wd Sdng,One_and_Half_Story_Finished_All_Ages,WD,Norm,Good,152,0,3,132,559,672,0,0,2,0,4,8,0,492,325,6,42.06035139999999,-93.6235954,Gilbert,12134
394432,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,New,Norm,Poor,88,350,3,411,1856,0,1,0,1,1,1,8,1,834,113,6,42.05885,-93.628804,Stone_Brook,11394
141000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,140,0,4,744,864,0,0,0,1,0,2,4,0,400,0,6,42.056673,-93.622971,Gilbert,19138
210000,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,85,119,1,589,1542,0,1,0,2,0,3,7,2,500,349,2,42.054453,-93.636655,Northwest_Ames,13175
190000,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,COD,Norm,Above_Average,105,480,2,1139,1844,0,0,0,2,0,3,7,1,546,0,1,42.050346,-93.633962,Northwest_Ames,11751
170000,Plywood,Plywood,Split_Foyer,WD,Norm,Above_Average,85,81,3,0,1053,0,1,0,2,0,3,6,2,528,0,1,42.05027,-93.636372,Northwest_Ames,10625
216000,VinylSd,VinylSd,Two_Story_1946_and_Newer,WD,Norm,Average,0,0,3,281,814,860,1,0,2,1,3,7,0,663,0,1,42.049297,-93.639366,Somerset,7500
149000,Wd Sdng,Wd Sdng,One_Story_1946_and_Newer_All_Styles,WD,Norm,Good,0,180,1,426,1004,0,1,0,1,0,2,5,1,480,0,3,42.055147,-93.626231,North_Ames,11241
149900,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,0,0,3,344,1078,0,1,0,1,1,3,6,1,500,0,4,42.054592,-93.626537,North_Ames,12537
142000,VinylSd,VinylSd,One_Story_1946_and_Newer_All_Styles,WD,Norm,Above_Average,65,0,2,281,1056,0,1,0,1,0,3,6,1,304,0,7,42.055227,-93.628806,North_Ames,8450
126000,Plywood,Plywood,One_Story_1946_and_Newer_All_Styles,WD,Norm,Average,70,0,1,0,882,0,1,0,1,0,2,4,0,525,240,4,42.053395,-93.627112,North_Ames,8400
115000,HdBoard,HdBoard,One_Story_1946_and_Newer_All_Styles,ConLI,Norm,Average,70,0,1,432,864,0,0,0,1,0,3,5,1,0,0,4,42.056375,-93.622769,North_Ames,10500
