business_units,sub_unit,accounts,amount
A,000001,advertising,-1956
A,000001,cogs,-205167
A,000001,credit_card_fee,-1890
A,000001,customer_loyalty,-118
A,000001,equipment_lease,-108
A,000001,income _allowances,40129
A,000001,insurance,-1127
A,000001,it_maintenance,-191
A,000001,maintenance,-2034
A,000001,materials,-1647
A,000001,net_sales,244809
A,000001,others,-895
A,000001,others_incomes,244
A,000001,re_incomes,1259
A,000001,rent,-4896
A,000001,shrinkage,-7819
A,000001,third_party_service,-173
A,000001,transportation_cost,-3442
A,000001,utilities,-8909
A,000001,wage,-19835
A,000002,advertising,-1881
A,000002,cogs,-197275
A,000002,credit_card_fee,-1817
A,000002,customer_loyalty,-113
A,000002,equipment_lease,-108
A,000002,income _allowances,38585
A,000002,insurance,-1012
A,000002,it_maintenance,-191
A,000002,maintenance,-1910
A,000002,materials,-1584
A,000002,net_sales,235393
A,000002,others,-895
A,000002,others_incomes,218
A,000002,re_incomes,1259
A,000002,rent,-4707
A,000002,shrinkage,-7518
A,000002,third_party_service,-170
A,000002,transportation_cost,-3309
A,000002,utilities,-8373
A,000002,wage,-19228
A,000003,advertising,-1857
A,000003,cogs,-194775
A,000003,credit_card_fee,-1794
A,000003,customer_loyalty,-112
A,000003,equipment_lease,-108
A,000003,income _allowances,38096
A,000003,insurance,-1023
A,000003,it_maintenance,-191
A,000003,maintenance,-1862
A,000003,materials,-1563
A,000003,net_sales,232409
A,000003,others,-895
A,000003,others_incomes,220
A,000003,re_incomes,1259
A,000003,rent,-4648
A,000003,shrinkage,-7423
A,000003,third_party_service,-198
A,000003,transportation_cost,-3267
A,000003,utilities,-8791
A,000003,wage,-19995
A,000004,advertising,-2032
A,000004,cogs,-213094
A,000004,credit_card_fee,-1963
A,000004,customer_loyalty,-122
A,000004,equipment_lease,-108
A,000004,income _allowances,41679
A,000004,insurance,-1194
A,000004,it_maintenance,-191
A,000004,maintenance,-2210
A,000004,materials,-1711
A,000004,net_sales,254268
A,000004,others,-895
A,000004,others_incomes,233
A,000004,re_incomes,1259
A,000004,rent,-5085
A,000004,shrinkage,-8121
A,000004,third_party_service,-190
A,000004,transportation_cost,-3575
A,000004,utilities,-9883
A,000004,wage,-21098
A,000005,advertising,-1855
A,000005,cogs,-194566
A,000005,credit_card_fee,-1793
A,000005,customer_loyalty,-111
A,000005,equipment_lease,-108
A,000005,income _allowances,38055
A,000005,insurance,-1422
A,000005,it_maintenance,-191
A,000005,maintenance,-2083
A,000005,materials,-1562
A,000005,net_sales,232160
A,000005,others,-895
A,000005,others_incomes,217
A,000005,re_incomes,1259
A,000005,rent,-5763
A,000005,shrinkage,-7415
A,000005,third_party_service,-253
A,000005,transportation_cost,-3264
A,000005,utilities,-9998
A,000005,wage,-21544
A,000006,advertising,-1619
A,000006,cogs,-169780
A,000006,credit_card_fee,-1564
A,000006,customer_loyalty,-97
A,000006,equipment_lease,-108
A,000006,income _allowances,33207
A,000006,insurance,-1274
A,000006,it_maintenance,-191
A,000006,maintenance,-1953
A,000006,materials,-1363
A,000006,net_sales,202585
A,000006,others,-895
A,000006,others_incomes,230
A,000006,re_incomes,1259
A,000006,rent,-5543
A,000006,shrinkage,-6471
A,000006,third_party_service,-219
A,000006,transportation_cost,-2848
A,000006,utilities,-9241
A,000006,wage,-20891
A,000007,advertising,-2022
A,000007,cogs,-212045
A,000007,credit_card_fee,-1954
A,000007,customer_loyalty,-121
A,000007,equipment_lease,-108
A,000007,income _allowances,41474
A,000007,insurance,-1122
A,000007,it_maintenance,-191
A,000007,maintenance,-2065
A,000007,materials,-1702
A,000007,net_sales,253016
A,000007,others,-895
A,000007,others_incomes,253
A,000007,re_incomes,1259
A,000007,rent,-6010
A,000007,shrinkage,-8081
A,000007,third_party_service,-186
A,000007,transportation_cost,-3557
A,000007,utilities,-10278
A,000007,wage,-23112
A,000008,advertising,-2153
A,000008,cogs,-225772
A,000008,credit_card_fee,-2080
A,000008,customer_loyalty,-129
A,000008,equipment_lease,-108
A,000008,income _allowances,44159
A,000008,insurance,-1480
A,000008,it_maintenance,-191
A,000008,maintenance,-2250
A,000008,materials,-1812
A,000008,net_sales,269395
A,000008,others,-895
A,000008,others_incomes,243
A,000008,re_incomes,1259
A,000008,rent,-5962
A,000008,shrinkage,-8604
A,000008,third_party_service,-246
A,000008,transportation_cost,-3787
A,000008,utilities,-10819
A,000008,wage,-23118
A,000009,advertising,-1147
A,000009,cogs,-120326
A,000009,credit_card_fee,-1108
A,000009,customer_loyalty,-69
A,000009,equipment_lease,-108
A,000009,income _allowances,23534
A,000009,insurance,-1110
A,000009,it_maintenance,-191
A,000009,maintenance,-2000
A,000009,materials,-966
A,000009,net_sales,143575
A,000009,others,-895
A,000009,others_incomes,236
A,000009,re_incomes,1259
A,000009,rent,-6788
A,000009,shrinkage,-4585
A,000009,third_party_service,-172
A,000009,transportation_cost,-2018
A,000009,utilities,-8504
A,000009,wage,-16848
A,000010,advertising,-1017
A,000010,cogs,-106665
A,000010,credit_card_fee,-982
A,000010,customer_loyalty,-61
A,000010,equipment_lease,-108
A,000010,income _allowances,20862
A,000010,insurance,-1014
A,000010,it_maintenance,-191
A,000010,maintenance,-1848
A,000010,materials,-856
A,000010,net_sales,127275
A,000010,others,-895
A,000010,others_incomes,241
A,000010,re_incomes,1259
A,000010,rent,-6802
A,000010,shrinkage,-4064
A,000010,third_party_service,-176
A,000010,transportation_cost,-1789
A,000010,utilities,-8101
A,000010,wage,-16501
A,000011,advertising,-1379
A,000011,cogs,-144593
A,000011,credit_card_fee,-1332
A,000011,customer_loyalty,-83
A,000011,equipment_lease,-108
A,000011,income _allowances,28281
A,000011,insurance,-958
A,000011,it_maintenance,-191
A,000011,maintenance,-1774
A,000011,materials,-1161
A,000011,net_sales,172531
A,000011,others,-895
A,000011,others_incomes,315
A,000011,re_incomes,1259
A,000011,rent,-6901
A,000011,shrinkage,-5510
A,000011,third_party_service,-163
A,000011,transportation_cost,-2425
A,000011,utilities,-8475
A,000011,wage,-18974
A,000012,advertising,-1306
A,000012,cogs,-136956
A,000012,credit_card_fee,-1262
A,000012,customer_loyalty,-78
A,000012,equipment_lease,-108
A,000012,income _allowances,26787
A,000012,insurance,-1206
A,000012,it_maintenance,-191
A,000012,maintenance,-2104
A,000012,materials,-1099
A,000012,net_sales,163419
A,000012,others,-895
A,000012,others_incomes,246
A,000012,re_incomes,1259
A,000012,rent,-6792
A,000012,shrinkage,-5219
A,000012,third_party_service,-207
A,000012,transportation_cost,-2297
A,000012,utilities,-8539
A,000012,wage,-18563
A,000013,advertising,-2245
A,000013,cogs,-235388
A,000013,credit_card_fee,-2169
A,000013,customer_loyalty,-135
A,000013,equipment_lease,-108
A,000013,income _allowances,46040
A,000013,insurance,-1446
A,000013,it_maintenance,-191
A,000013,maintenance,-2762
A,000013,materials,-1890
A,000013,net_sales,280870
A,000013,others,-895
A,000013,others_incomes,236
A,000013,re_incomes,1259
A,000013,rent,-6905
A,000013,shrinkage,-8971
A,000013,third_party_service,-210
A,000013,transportation_cost,-3949
A,000013,utilities,-9833
A,000013,wage,-22643
A,000014,advertising,-1922
A,000014,cogs,-201553
A,000014,credit_card_fee,-1857
A,000014,customer_loyalty,-115
A,000014,equipment_lease,-108
A,000014,income _allowances,39422
A,000014,insurance,-1299
A,000014,it_maintenance,-191
A,000014,maintenance,-2458
A,000014,materials,-1618
A,000014,net_sales,240497
A,000014,others,-895
A,000014,others_incomes,223
A,000014,re_incomes,1259
A,000014,rent,-6492
A,000014,shrinkage,-7681
A,000014,third_party_service,-244
A,000014,transportation_cost,-3381
A,000014,utilities,-9465
A,000014,wage,-22040
A,000015,advertising,-2302
A,000015,cogs,-241421
A,000015,credit_card_fee,-2224
A,000015,customer_loyalty,-138
A,000015,equipment_lease,-108
A,000015,income _allowances,47220
A,000015,insurance,-1328
A,000015,it_maintenance,-191
A,000015,maintenance,-2163
A,000015,materials,-1938
A,000015,net_sales,288068
A,000015,others,-895
A,000015,others_incomes,236
A,000015,re_incomes,1259
A,000015,rent,-6825
A,000015,shrinkage,-9200
A,000015,third_party_service,-264
A,000015,transportation_cost,-4050
A,000015,utilities,-10422
A,000015,wage,-25567
A,000016,advertising,-2588
A,000016,cogs,-271337
A,000016,credit_card_fee,-2500
A,000016,customer_loyalty,-156
